Sample group,Shannon index,Season,Year,SampleSize (log10),latitude,longitude,Terrain,Host genus,Annual Mean Temperature (Bio1),Mean Diurnal Range (Mean of monthly max temp - min temp) (Bio2),Isothermality (BIO2/BIO7) (x100) (Bio3),Temperature Seasonality (standard deviation x100) (Bio4),Max Temperature of Warmest Month (Bio5),Min Temperature of Coldest Month (Bio6),Temperature Annual Range (BIO5-BIO6) (Bio7),Mean Temperature of Wettest Quarter (Bio8),Mean Temperature of Driest Quarter (Bio9),Mean Temperature of Warmest Quarter (Bio10),Mean Temperature of Coldest Quarter (Bio11),Annual Precipitation (Bio12),Precipitation of Wettest Month (Bio13),Precipitation of Driest Month (Bio14),Precipitation Seasonality (Coefficient of Variation) (Bio15),Precipitation of Wettest Quarter (Bio16),Precipitation of Driest Quarter (Bio17),Precipitation of Warmest Quarter (Bio18),Precipitation of Coldest Quarter (Bio19),Global Mammal Richness (GMR),Global Railway (GR),Global Linear Hydrography (GLH),Human Footprint (HFT),Fractional Vegetation Cover (FVC),Normalized Difference Vegetation Index (NDVI),China GDP Spatial Distribution (GDP),China High-Resolution Ecological Environment Quality (CHEQ),China Population Spatial Distribution (PSD),Digital Elevation Model (DEM),landuseName Forest land closed canopy,landuseName High coverage grassland,landuseName Low coverage grassland,landuseName Medium coverage grassland,landuseName Other construction land,landuseName Other forest land,landuseName Paddy field,landuseName Reservoirs and ponds,landuseName Rivers and canals,landuseName Rural residential area,landuseName Shrubland,landuseName Sparse woodland,landuseName Urban built up area
IPB24G-215,6.326633413,Summer,2024,0.477121255,24.89,104.41,Mountain,Rhinolophus,16.158333,9.916667,42.378918,526.8122,26,2.6,23.4,21.75,8.916667,21.75,8.916667,1113,212,20,79.746994,599,62,599,62,91,0.759128634,0.198758473,13.748339,1,0.9259192,808,0.5383006,158,1473,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-216,5.142327113,Summer,2024,0.477121255,28.13,103.05,Mountain,Rhinolophus,13.370833,10.291667,38.690475,589.6588,25.4,-1.2,26.6,20.133333,5.5,20.133333,5.5,892,178,9,89.142845,506,30,506,30,93,0.440640787,0.380927474,25.464888,3,0.85848755,189,0.4082862,121,1712.8125,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-217,4.58823414,Summer,2024,0.698970004,28.12,103.14,Mountain,Rhinolophus,13.675,9.833333,36.828964,607.5304,25.9,-0.8,26.699999,20.616667,5.55,20.616667,5.55,885,175,10,88.17654,501,31,501,31,92,0.525313558,0.293722058,18.310114,2,0.8818797,139,0.5709136,90,1497.9375,0,0,0,1,0,0,0,0,0,0,0,0,0
IPB24G-218,6.805362892,Summer,2024,0.602059991,26.15,105.88,Mountain,Hipposideros,14.5,7.616667,30.962059,632.96204,26.1,1.5,24.6,21.7,6.0666666,21.7,6.0666666,1205,234,18,75.30131,602,61,602,61,87,0.039348888,0.244784272,18.636919,3,0.88898265,2071,0.5131438,457,1399.1875,0,0,0,1,0,0,0,0,0,0,0,0,0
IPB24G-219,4.480809578,Summer,2024,0.301029996,24.89,104.41,Mountain,Miniopterus,16.158333,9.916667,42.378918,526.8122,26,2.6,23.4,21.75,8.916667,21.75,8.916667,1113,212,20,79.746994,599,62,599,62,91,0.759128634,0.198758473,13.748339,1,0.9259192,808,0.5383006,158,1473,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-220,4.299953786,Summer,2024,0.301029996,25.79,104.96,Mountain,Aselliscus,14.55,8.55,36.075947,568.8146,25.2,1.5,23.7,20.833334,6.8166666,20.833334,6.8166666,1253,254,18,81.70774,670,58,670,58,89,0.455253227,0.725288581,43.30906,3,0.81838906,1410,0.3601462,342,1620.6875,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24G-221,5.219712892,Summer,2024,0.301029996,24.89,104.41,Mountain,Myotis,16.158333,9.916667,42.378918,526.8122,26,2.6,23.4,21.75,8.916667,21.75,8.916667,1113,212,20,79.746994,599,62,599,62,91,0.759128634,0.198758473,13.748339,1,0.9259192,808,0.5383006,158,1473,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-222,5.53975205,Summer,2024,0.477121255,25.84,105.26,Mountain,Myotis,14.954166,8.125,34.138657,589.4121,25.8,2,23.8,21.516666,6.983333,21.516666,6.983333,1261,250,20,78.712814,657,64,657,64,88,0.387187132,0.525781241,28.158657,1,0.91618043,610,0.42653716,161,1534.75,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-223,5.456564762,Summer,2024,0.698970004,25.47,105.02,Mountain,Myotis,14.391666,8.533334,36.78161,555.0341,24.7,1.5,23.2,20.516666,6.85,20.516666,6.85,1265,249,19,80.54323,674,62,674,62,91,0.600573538,0.505083746,13.282139,2,0.97680444,647,0.6323483,157,1690,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-224,6.96531675,Summer,2024,0.477121255,24.89,104.41,Mountain,Myotis,16.158333,9.916667,42.378918,526.8122,26,2.6,23.4,21.75,8.916667,21.75,8.916667,1113,212,20,79.746994,599,62,599,62,91,0.759128634,0.198758473,13.748339,1,0.9259192,808,0.5383006,158,1473,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-225,4.295990417,Summer,2024,0.301029996,25.69,102.37,Mountain,Myotis,13.429167,10.925,46.888412,446.37152,23,-0.3,23.3,18.1,7.4,18.1,7.4,877,181,11,86.999565,494,35,494,35,93,0.465004652,0.410819644,12.352924,3,0.9149681,335,0.41764748,73,2292.9375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-227,4.32965019,Summer,2024,0.301029996,25.79,104.96,Mountain,Rhinolophus,14.55,8.55,36.075947,568.8146,25.2,1.5,23.7,20.833334,6.8166666,20.833334,6.8166666,1253,254,18,81.70774,670,58,670,58,89,0.455253227,0.725288581,43.30906,3,0.81838906,1410,0.3601462,342,1620.6875,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24G-228,4.527000823,Summer,2024,0.301029996,26.67,102.18,Mountain,Rhinolophus,14.629167,11.191667,46.827057,461.51166,24.6,0.7,23.9,19.616667,8.5,19.616667,8.5,941,208,8,95.425476,560,28,560,28,93,0.175634376,0.330198164,8.85449,2,0.9456211,355,0.44870833,78,2068.9375,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-229,6.807495297,Summer,2024,0.301029996,26.29,106.09,Hill,Rhinolophus,14.454166,7.975,31.27451,655.1421,26.4,0.9,25.5,20.816666,5.766667,21.916666,5.766667,1173,225,17,73.59623,580,60,571,60,90,0.022053908,0.181468955,31.690065,1,0.9304078,2605,0.45058855,575,1337.75,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-230,5.60294552,Summer,2024,0.301029996,25.79,104.96,Mountain,Rhinolophus,14.55,8.55,36.075947,568.8146,25.2,1.5,23.7,20.833334,6.8166666,20.833334,6.8166666,1253,254,18,81.70774,670,58,670,58,89,0.455253227,0.725288581,43.30906,3,0.81838906,1410,0.3601462,342,1620.6875,0,0,0,0,0,0,0,0,0,0,0,0,1
IPB24G-231,8.021270416,Summer,2024,1.278753601,25.47,105.02,Mountain,Rhinolophus,14.391666,8.533334,36.78161,555.0341,24.7,1.5,23.2,20.516666,6.85,20.516666,6.85,1265,249,19,80.54323,674,62,674,62,91,0.600573538,0.505083746,13.282139,2,0.97680444,647,0.6323483,157,1690,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-232,10.17724246,Summer,2024,1.230448921,24.89,104.41,Mountain,Rhinolophus,16.158333,9.916667,42.378918,526.8122,26,2.6,23.4,21.75,8.916667,21.75,8.916667,1113,212,20,79.746994,599,62,599,62,91,0.759128634,0.198758473,13.748339,1,0.9259192,808,0.5383006,158,1473,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-233,10.28054884,Summer,2024,1.204119983,24.89,104.41,Mountain,Rhinolophus,16.158333,9.916667,42.378918,526.8122,26,2.6,23.4,21.75,8.916667,21.75,8.916667,1113,212,20,79.746994,599,62,599,62,91,0.759128634,0.198758473,13.748339,1,0.9259192,808,0.5383006,158,1473,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-234,6.961443563,Summer,2024,0.602059991,24.89,104.41,Mountain,Rhinolophus,16.158333,9.916667,42.378918,526.8122,26,2.6,23.4,21.75,8.916667,21.75,8.916667,1113,212,20,79.746994,599,62,599,62,91,0.759128634,0.198758473,13.748339,1,0.9259192,808,0.5383006,158,1473,0,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-235,7.929303495,Summer,2024,1.176091259,25.69,102.37,Mountain,Rhinolophus,13.429167,10.925,46.888412,446.37152,23,-0.3,23.3,18.1,7.4,18.1,7.4,877,181,11,86.999565,494,35,494,35,93,0.465004652,0.410819644,12.352924,3,0.9149681,335,0.41764748,73,2292.9375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-236,6.906385996,Summer,2024,1.176091259,25.69,102.37,Mountain,Rhinolophus,13.429167,10.925,46.888412,446.37152,23,-0.3,23.3,18.1,7.4,18.1,7.4,877,181,11,86.999565,494,35,494,35,93,0.465004652,0.410819644,12.352924,3,0.9149681,335,0.41764748,73,2292.9375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-237,7.485402982,Summer,2024,1.176091259,25.69,102.37,Mountain,Rhinolophus,13.429167,10.925,46.888412,446.37152,23,-0.3,23.3,18.1,7.4,18.1,7.4,877,181,11,86.999565,494,35,494,35,93,0.465004652,0.410819644,12.352924,3,0.9149681,335,0.41764748,73,2292.9375,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-238,7.43458391,Summer,2024,1.113943352,26.5,102.58,Mountain,Rhinolophus,15.974999,11.316667,46.763084,473.98938,26.2,2,24.2,21.066666,9.666666,21.066666,9.666666,886,193,7,95.25375,524,24,524,24,91,0.585842459,0.131649398,13.581121,3,0.9320439,396,0.33342478,97,1874.8125,0,0,1,0,0,0,0,0,0,0,0,0,0
IPB24G-239,6.986396647,Summer,2024,1.146128036,26.67,102.18,Mountain,Rhinolophus,14.629167,11.191667,46.827057,461.51166,24.6,0.7,23.9,19.616667,8.5,19.616667,8.5,941,208,8,95.425476,560,28,560,28,93,0.175634376,0.330198164,8.85449,2,0.9456211,355,0.44870833,78,2068.9375,0,0,0,0,0,0,0,0,0,0,0,1,0
IPB24G-240,4.865813969,Summer,2024,0.301029996,27.71,102.31,Mountain,Rhinolophus,13.058333,10.65,44.7479,495.96936,23.2,-0.6,23.800001,18.616667,6.483333,18.616667,6.483333,928,209,4,98.02595,553,17,553,17,101,0.101383851,0.298607425,14.7073965,2,1,1787,0.54300034,297,2189.625,1,0,0,0,0,0,0,0,0,0,0,0,0
IPB24G-241,3.924920993,Summer,2024,0.477121255,28.08,103.14,Mountain,Rhinolophus,9.558333,9.916667,38.58625,575.586,21,-4.7,25.7,16.283333,1.9666668,16.283333,1.9666668,901,175,9,88.02915,495,28,495,28,91,0.544473382,0.284106312,10.900097,3,0.855016,149,0.458769,96,2543.5,0,0,0,1,0,0,0,0,0,0,0,0,0
IPB24H-129,0,Summer,2023,1.255272505,29.91,110.07,Mountain,Rhinolophus,14.5125,7.6083336,25.878685,795.5962,29.2,-0.2,29.400002,22.05,4.4166665,24.033333,4.4166665,1425,225,27,60.75473,634,92,609,92,72,0.888824461,1.121831945,15.09085,2,0.9121441,216,0.6407221,58,734.3125,1,0,0,0,0,0,0,0,0,0,0,0,0
