Cluster_ID,host
Cluster5158,Eptesicus serotinus
Cluster5183,Eptesicus serotinus
Cluster5193,Eptesicus serotinus
Cluster5212,Eptesicus serotinus
Cluster5221,Eptesicus serotinus
Cluster5253,Eptesicus serotinus
Cluster5261,Eptesicus serotinus
Cluster5264,Eptesicus serotinus
Cluster5266,Eptesicus serotinus
Cluster5282,Eptesicus serotinus
Cluster5346,Eptesicus serotinus
Cluster5357,Eptesicus serotinus
Cluster5368,Eptesicus serotinus
Cluster5387,Eptesicus serotinus
Cluster5452,Eptesicus serotinus
Cluster5475,Eptesicus serotinus
Cluster5543,Eptesicus serotinus
Cluster5664,Eptesicus serotinus
Cluster5701,Eptesicus serotinus
Cluster5719,Eptesicus serotinus
Cluster5720,Eptesicus serotinus
Cluster5734,Eptesicus serotinus
Cluster5874,Eptesicus serotinus
Cluster5886,Eptesicus serotinus
Cluster5888,Eptesicus serotinus
Cluster5926,Eptesicus serotinus
Cluster6011,Eptesicus serotinus
Cluster6015,Eptesicus serotinus
Cluster6057,Eptesicus serotinus
Cluster6065,Eptesicus serotinus
Cluster6078,Eptesicus serotinus
Cluster6152,Eptesicus serotinus
Cluster6156,Eptesicus serotinus
Cluster6176,Eptesicus serotinus
Cluster6192,Eptesicus serotinus
Cluster6229,Eptesicus serotinus
Cluster6336,Eptesicus serotinus
Cluster6355,Eptesicus serotinus
Cluster6381,Eptesicus serotinus
Cluster6408,Eptesicus serotinus
Cluster6423,Eptesicus serotinus
Cluster6441,Eptesicus serotinus
Cluster6469,Eptesicus serotinus
Cluster6497,Eptesicus serotinus
Cluster6561,Eptesicus serotinus
Cluster6568,Eptesicus serotinus
Cluster6574,Eptesicus serotinus
Cluster6589,Eptesicus serotinus
Cluster6611,Eptesicus serotinus
Cluster6697,Eptesicus serotinus
Cluster6788,Eptesicus serotinus
Cluster6799,Eptesicus serotinus
Cluster6827,Eptesicus serotinus
Cluster6838,Eptesicus serotinus
Cluster6891,Eptesicus serotinus
Cluster6910,Eptesicus serotinus
Cluster6915,Eptesicus serotinus
Cluster6971,Eptesicus serotinus
Cluster7004,Eptesicus serotinus
Cluster7057,Eptesicus serotinus
Cluster7079,Eptesicus serotinus
Cluster7098,Eptesicus serotinus
Cluster7107,Eptesicus serotinus
Cluster7113,Eptesicus serotinus
Cluster7134,Eptesicus serotinus
Cluster7200,Eptesicus serotinus
Cluster7253,Eptesicus serotinus
Cluster7260,Eptesicus serotinus
Cluster7304,Eptesicus serotinus
Cluster7334,Eptesicus serotinus
Cluster7413,Eptesicus serotinus
Cluster7430,Eptesicus serotinus
Cluster7433,Eptesicus serotinus
Cluster7450,Eptesicus serotinus
Cluster7468,Eptesicus serotinus
Cluster7521,Eptesicus serotinus
Cluster7532,Eptesicus serotinus
Cluster7569,Eptesicus serotinus
Cluster7588,Eptesicus serotinus
Cluster7600,Eptesicus serotinus
Cluster7618,Eptesicus serotinus
Cluster7668,Eptesicus serotinus
Cluster7669,Eptesicus serotinus
Cluster7681,Eptesicus serotinus
Cluster7703,Eptesicus serotinus
Cluster7753,Eptesicus serotinus
Cluster7894,Eptesicus serotinus
Cluster8194,Eptesicus serotinus
Cluster8199,Eptesicus serotinus
Cluster8200,Eptesicus serotinus
Cluster8201,Eptesicus serotinus
Cluster8221,Eptesicus serotinus
Cluster8275,Eptesicus serotinus
Cluster8327,Eptesicus serotinus
Cluster8353,Eptesicus serotinus
Cluster8356,Eptesicus serotinus
Cluster8357,Eptesicus serotinus
Cluster8363,Eptesicus serotinus
Cluster8399,Eptesicus serotinus
Cluster8431,Eptesicus serotinus
Cluster8432,Eptesicus serotinus
Cluster8454,Eptesicus serotinus
Cluster8481,Eptesicus serotinus
Cluster8486,Eptesicus serotinus
Cluster8493,Eptesicus serotinus
Cluster8558,Eptesicus serotinus
Cluster8595,Eptesicus serotinus
