Host,Viral Diversity,Zoonotic Species Count,Zoonotic Sequence Number,Viral Sequence Count,VD_norm,ZSC_norm,ZSN_corrected,ZSN_corrected_norm,VS_ln,VS_ln_norm,EWM_CRS,EWM_rank
Triaenops afer,1,0,0,26,0.0,0.0,0.0,0.0,3.295837,0.418869,0.044576,119
Myotis nattereri,1,0,0,25,0.0,0.0,0.0,0.0,3.258097,0.412796,0.043929,120
Phyllostomus discolor,1,0,0,25,0.0,0.0,0.0,0.0,3.258097,0.412796,0.043929,121
Molossus molossus,2,0,0,8,0.083333,0.0,0.0,0.0,2.197225,0.242062,0.042899,122
Pteropus rufus,1,0,0,22,0.0,0.0,0.0,0.0,3.135494,0.393064,0.04183,123
Rousettus amplexicaudatus,1,0,0,21,0.0,0.0,0.0,0.0,3.091042,0.38591,0.041068,124
Myotis macrodactylus,2,0,0,7,0.083333,0.0,0.0,0.0,2.079442,0.223106,0.040882,125
Miniopterus inflatus,1,0,0,20,0.0,0.0,0.0,0.0,3.044522,0.378424,0.040272,126
Glossophaga soricina,2,0,0,6,0.083333,0.0,0.0,0.0,1.94591,0.201616,0.038595,127
Myotis adversus,2,0,0,6,0.083333,0.0,0.0,0.0,1.94591,0.201616,0.038595,128
Nycteris thebaica,2,0,0,6,0.083333,0.0,0.0,0.0,1.94591,0.201616,0.038595,129
Rhinolophus lobatus,2,0,0,6,0.083333,0.0,0.0,0.0,1.94591,0.201616,0.038595,130
Chalinolobus gouldii,2,0,0,5,0.083333,0.0,0.0,0.0,1.791759,0.176807,0.035955,131
Lissonycteris angolensis,2,0,0,5,0.083333,0.0,0.0,0.0,1.791759,0.176807,0.035955,132
Scotophilus dinganii,2,0,0,5,0.083333,0.0,0.0,0.0,1.791759,0.176807,0.035955,133
Molossus rufus,1,0,0,13,0.0,0.0,0.0,0.0,2.639057,0.313169,0.033327,134
Sturnira parvidens,2,0,0,4,0.083333,0.0,0.0,0.0,1.609438,0.147465,0.032832,135
Mormopterus jugularis,1,0,0,12,0.0,0.0,0.0,0.0,2.564949,0.301242,0.032058,136
Myotis capaccinii,1,0,0,12,0.0,0.0,0.0,0.0,2.564949,0.301242,0.032058,137
Rousettus madagascariensis,1,0,0,12,0.0,0.0,0.0,0.0,2.564949,0.301242,0.032058,138
Myotis brandtii,2,0,0,3,0.083333,0.0,0.0,0.0,1.386294,0.111553,0.029011,139
Myotis longipes,2,0,0,3,0.083333,0.0,0.0,0.0,1.386294,0.111553,0.029011,140
Megaderma lyra,1,0,0,8,0.0,0.0,0.0,0.0,2.197225,0.242062,0.02576,141
Miniopterus mossambicus,1,0,0,8,0.0,0.0,0.0,0.0,2.197225,0.242062,0.02576,142
Hipposideros cineraceus,2,0,0,2,0.083333,0.0,0.0,0.0,1.098612,0.065254,0.024083,143
Kerivoula titania,2,0,0,2,0.083333,0.0,0.0,0.0,1.098612,0.065254,0.024083,144
Lonchorhina aurita,2,0,0,2,0.083333,0.0,0.0,0.0,1.098612,0.065254,0.024083,145
Myotis ikonnikovi,2,0,0,2,0.083333,0.0,0.0,0.0,1.098612,0.065254,0.024083,146
Myotis volans,2,0,0,2,0.083333,0.0,0.0,0.0,1.098612,0.065254,0.024083,147
Neoromicia nanus,2,0,0,2,0.083333,0.0,0.0,0.0,1.098612,0.065254,0.024083,148
Rhinolophus simulator,2,0,0,2,0.083333,0.0,0.0,0.0,1.098612,0.065254,0.024083,149
Taphozous melanopogon,2,0,0,2,0.083333,0.0,0.0,0.0,1.098612,0.065254,0.024083,150
Murina leucogaster,1,0,0,6,0.0,0.0,0.0,0.0,1.94591,0.201616,0.021456,151
Myonycteris torquata,1,0,0,6,0.0,0.0,0.0,0.0,1.94591,0.201616,0.021456,152
Epomophorus labiatus,1,0,0,5,0.0,0.0,0.0,0.0,1.791759,0.176807,0.018816,153
Epomophorus pusillus,1,0,0,5,0.0,0.0,0.0,0.0,1.791759,0.176807,0.018816,154
