Host,Zoonotic Sequence Number,EWM_rank,EWM_CRS,VD_norm,ZSC_norm,ZSN_corrected_norm,VS_ln_norm,CRS_P90,VD_P90,VD_P95,passes_CRS_P90_floor,passes_ZSN_floor,passes_path_A,passes_path_B,final_selected,selection_path,exclusion_reason
Epomophorus gambianus,0,84,0.110765,0.166667,0.0,0.0,0.71873,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rousettus leschenaultii,0,85,0.103821,0.166667,0.0,0.0,0.653476,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pteropus lylei,0,86,0.098894,0.166667,0.0,0.0,0.607177,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis fimbriatus,0,87,0.097217,0.25,0.0,0.0,0.43037,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hipposideros lekaguli,0,88,0.093976,0.25,0.0,0.0,0.399914,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis davidii,0,89,0.090853,0.25,0.0,0.0,0.370571,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis horsfieldii,0,90,0.08807,0.25,0.0,0.0,0.344416,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Scotophilus heathii,0,91,0.085926,0.25,0.0,0.0,0.324273,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis petax,0,92,0.082104,0.25,0.0,0.0,0.288361,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus rhodesiae,0,93,0.082104,0.25,0.0,0.0,0.288361,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Micropteropus pusillus,0,94,0.077281,0.083333,0.0,0.0,0.565138,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus magnatus,0,95,0.076226,0.083333,0.0,0.0,0.555231,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis chinensis,0,96,0.075347,0.166667,0.0,0.0,0.38591,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Artibeus jamaicensis,0,97,0.07516,0.25,0.0,0.0,0.223106,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Tylonycteris robustula,0,98,0.072873,0.25,0.0,0.0,0.201616,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Mops pusillus,0,99,0.071569,0.083333,0.0,0.0,0.511467,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Triaenops persicus,0,100,0.071569,0.083333,0.0,0.0,0.511467,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus fuscus,0,101,0.068787,0.166667,0.0,0.0,0.324273,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Chaerephon pusillus,0,102,0.067568,0.083333,0.0,0.0,0.473869,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Cynopterus brachyotis,0,103,0.067568,0.083333,0.0,0.0,0.473869,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Epomops franqueti,0,104,0.067111,0.083333,0.0,0.0,0.469578,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Scotophilus leucogaster,0,105,0.064965,0.166667,0.0,0.0,0.288361,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis laniger,0,106,0.060038,0.166667,0.0,0.0,0.242062,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus natalensis,0,107,0.056127,0.0,0.0,0.0,0.527414,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Megaloglossus woermanni,0,108,0.054771,0.083333,0.0,0.0,0.353615,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis macropus,0,109,0.053094,0.166667,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis dasycneme,0,110,0.051648,0.083333,0.0,0.0,0.324273,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis siligorensis,0,111,0.050466,0.083333,0.0,0.0,0.313169,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Eptesicus fuscus,0,112,0.049972,0.0,0.0,0.0,0.469578,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pipistrellus coromandra,0,113,0.049971,0.166667,0.0,0.0,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nyctalus plancyi,0,114,0.046336,0.083333,0.0,0.0,0.274357,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pteropus vampyrus,0,115,0.04615,0.166667,0.0,0.0,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Hypsignathus monstrosus,0,116,0.044704,0.083333,0.0,0.0,0.259018,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis lucifugus,0,117,0.044576,0.0,0.0,0.0,0.418869,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Otomops martiensseni,0,118,0.044576,0.0,0.0,0.0,0.418869,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Triaenops afer,0,119,0.044576,0.0,0.0,0.0,0.418869,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis nattereri,0,120,0.043929,0.0,0.0,0.0,0.412796,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Phyllostomus discolor,0,121,0.043929,0.0,0.0,0.0,0.412796,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Molossus molossus,0,122,0.042899,0.083333,0.0,0.0,0.242062,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Pteropus rufus,0,123,0.04183,0.0,0.0,0.0,0.393064,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rousettus amplexicaudatus,0,124,0.041068,0.0,0.0,0.0,0.38591,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis macrodactylus,0,125,0.040882,0.083333,0.0,0.0,0.223106,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus inflatus,0,126,0.040272,0.0,0.0,0.0,0.378424,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Glossophaga soricina,0,127,0.038595,0.083333,0.0,0.0,0.201616,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis adversus,0,128,0.038595,0.083333,0.0,0.0,0.201616,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Nycteris thebaica,0,129,0.038595,0.083333,0.0,0.0,0.201616,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rhinolophus lobatus,0,130,0.038595,0.083333,0.0,0.0,0.201616,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Chalinolobus gouldii,0,131,0.035955,0.083333,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Lissonycteris angolensis,0,132,0.035955,0.083333,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Scotophilus dinganii,0,133,0.035955,0.083333,0.0,0.0,0.176807,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Molossus rufus,0,134,0.033327,0.0,0.0,0.0,0.313169,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Sturnira parvidens,0,135,0.032832,0.083333,0.0,0.0,0.147465,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Mormopterus jugularis,0,136,0.032058,0.0,0.0,0.0,0.301242,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis capaccinii,0,137,0.032058,0.0,0.0,0.0,0.301242,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Rousettus madagascariensis,0,138,0.032058,0.0,0.0,0.0,0.301242,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis brandtii,0,139,0.029011,0.083333,0.0,0.0,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Myotis longipes,0,140,0.029011,0.083333,0.0,0.0,0.111553,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Megaderma lyra,0,141,0.02576,0.0,0.0,0.0,0.242062,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
Miniopterus mossambicus,0,142,0.02576,0.0,0.0,0.0,0.242062,0.2927,0.333333,0.583333,False,False,False,False,False,Not selected,Excluded: EWM_CRS below the CRS P90 high-priority floor.
